81,PIZZA_BIG,"Pizza Qattro so šunkou veľká1,7","1100g, pomodoro, syr Mozzarella, syr Ementál, syr Fetta, syr Niva, šunka, smotana, oregano",9.9
82,PIZZA_BIG,"Pizza Calzone1,7","1100g, kapsa, pomodoro, šunka, saláma, kukurica, syr",11
83,PIZZA_BIG,"Pizza Hawai s kuracím mäsom veľká1,7","1100g, pomodoro, syr Mozzarella, kuracie mäso, ananás, oregano",11
84,PIZZA_BIG,"Pizza Hawai so šunkou veľká1,7","1100g, pomodoro, syr Mozzarella, šunka, ananás, oregano",9.9
85,PIZZA_BIG,"Pizza Maestro veľká1,7","1000g, smotana, syr Mozzarella, paradajka, olivy, bazalka, oregano",9.9
86,PIZZA_BIG,"Pizza Roma veľká1,3,7","1200g, pomodoro, syr Mozzarella, šunka, vajce, šampiňóny, brokolica, olivy, oregano",11
87,PIZZA_BIG,"Pizza Max pokant veľká1,3,7","1100g, pikantné pomodoro, saláma, syr Niva, syr Mozzarella, paradajka, chilli papričky",9.9
88,PIZZA_BIG,"Pizza Tunis veľká1,7","1200g, pomodoro, cheese Mozzarella, chilli, kuracie mäso, kukurica, oregano",11
89,PIZZA_BIG,"Pizza Vegetariana veľká1,7","1200g, pomodoro, syr Mozzarella, kukurica, šampiňóny, paradajka, olivy, brokolica, syr Fetta, oregano",9.9
90,PIZZA_BIG,"Pizza Bambino veľká1,7","1100g, pomodoro, syr Mozzarella, šunka, kukurica, oregano",8.9
91,PIZZA_BIG,"Pizza Tuniaková veľká1,4,7","1100g, pomodoro, syr Mozzarella, cibuľa, tuniak, paradajka, oregano",9.9
92,PIZZA_BIG,"Pizza Liptovská veľká1,7","1150g, smotana, syr Mozzarella, slanina, bryndza, cibuľa",9.9
93,PIZZA_SPECIAL,"Pizza roličky 8ks1,7","380g, šunka, syr Mozzarella, cesnak s olivovým olejom",5.95
94,PIZZA_SPECIAL,"Pizza chlieb s dressingom1,7","250g, pizza chlieb, dressing podľa ponuky",3.5
95,SLADKOST,"Vyprážané pirohy so slivkovým lekvárom1,3,7","330g, 8ks, kysnuté cesto, slivkový lekvár, práškový cukor, škorica",4.9
96,SLADKOST,"Marlenka (medová torta)1,3,7","80g, kysnuté cesto, lesná zmes, práškový cukor, vajce, sušienky",1.9
97,SLADKOST,Jogurtový pohár s lesným ovocím a s müsli7,"450g, smotanový jogurt, zmes ovocia, javorový sirup, müsli",4
98,SLADKOST,Horúca čokoláda s lesným ovocím7,450g,3.9
99,PRILOHA,Hranolky,200g,1.5
100,PRILOHA,Ryža,200g,1.5
101,PRILOHA,Steakové hranolky7,200g,2
102,PRILOHA,"Steakové hranolky so slaninou a syrom7,10","350g, slanina, maslo, cibuľa, cesnak, syr Eidam, syr Parmezán, smotana, soľ, steakové hranolky",5.9
103,DOPLNOK,chilli,5g,0.66
104,DOPLNOK,feferóny,5g,0.66
105,DOPLNOK,olivy,10g,0.66
106,DOPLNOK,cibuľa,20g,0.66
107,DOPLNOK,krevety,5g,0.66
108,DOPLNOK,mozzarella,30g,0.99
109,DOPLNOK,niva7,30g,0.99
110,DOPLNOK,ementál7,30g,0.99
111,DOPLNOK,fetta syr7,30g,0.66
112,DOPLNOK,tuniak,30g,1.5
113,DOPLNOK,brokolica,20g,0.66
114,DOPLNOK,ananás,30g,0.66
115,DOPLNOK,kukurica,20g,0.66
116,DOPLNOK,šampiňóny,30g,0.66
117,DOPLNOK,šunka,30g,1
118,DOPLNOK,prosciutto crudo,30g,2
119,DOPLNOK,slanina,30g,1
120,DOPLNOK,klobása,30g,1
121,DOPLNOK,saláma,30g,1
122,DOPLNOK,vajce3,1ks.,0.66
123,DOPLNOK,smotana7,60ml,0.66
124,DOPLNOK,paprika,20g,0.66
125,DOPLNOK,paradajka,20g,0.66
126,DOPLNOK,kuracie mäso,50g,1.5
127,DOPLNOK,"chlieb1,3",1ks.,0.15
128,POCHUTINA,"Tyčinky7,10",45g,1
129,POCHUTINA,"Arašidy7,10",80g,1
130,POCHUTINA,"Chrumky7,10",60g,1
131,POCHUTINA,"Horalka7,10",40g,1
132,OMACKA,Tzatziky omáčka7,33ml,1
133,OMACKA,Cesnakový dressing7,33ml,0.99
134,OMACKA,"Tatárska omáčka3,7",33ml,0.99
135,OMACKA,Kečup1,33ml,0.99
136,OMACKA,Pikantný dressing1,33ml,0.99
137,OMACKA,Horčica10,33ml,0.99
138,OMACKA,Chrenový dressing7,33ml,0.99
139,OMACKA,Barbecue,33ml,1
140,OMACKA,Jogurt7,33ml,0.7
141,PIVO,"Bernard 11°/1, 5 l","1,5l",4.7
142,PIVO,"Prazdroj 12°/1, 5 l","1,5l, čapované pivo",6.2
143,VINO,"Červené víno 0, 75l","0,75l, fľaša",8
144,VINO,"Biele víno 0, 75l","0,75l, fľaša",8
145,VINO,"Frankovka červená 1, 5l","1,5l, sudové víno (pet fľaša) cena komplet",6.5
146,VINO,"Biele víno sudové 1, 5l","1,5l, čapované víno(pet fľaša) cena komplet",6.5
147,VINO,"Ríbezľové víno 1, 5","1,5l, sudové sladké(pet fľaša), cena komplet",6.5
148,ALKOHOL,Borovička,"0,5l",6
149,ALKOHOL,Vodka,"0,5l",6
150,ALKOHOL,Rum,"0,5l",6
